ActivitySiteID,ActivityDescription,BookingEndDate,BookingStartTime,MaxBookees,Number Booked,Price (INR)
HXP,20-20-20  2.45pm-3.45pm,2018-04-08,1900-01-01 14:45:00,25,12,499.0
HXP,20-20-20  2.45pm-3.45pm,2018-04-15,1900-01-01 14:45:00,25,15,499.0
HXP,20-20-20  2.45pm-3.45pm,2018-04-22,1900-01-01 14:45:00,25,14,499.0
HXP,20-20-20  2.45pm-3.45pm,2018-04-29,1900-01-01 14:45:00,25,9,499.0
HXP,20-20-20  2.45pm-3.45pm,2018-05-06,1900-01-01 14:45:00,25,7,499.0
HXP,20-20-20  2.45pm-3.45pm,2018-05-13,1900-01-01 14:45:00,25,10,499.0
HXP,20-20-20  2.45pm-3.45pm,2018-05-20,1900-01-01 14:45:00,25,7,499.0
HXP,20-20-20  2.45pm-3.45pm,2018-05-27,1900-01-01 14:45:00,25,3,499.0
TSC,20-20-20 7.00-8.00pm,2018-04-04,1900-01-01 19:00:00,24,10,499.0
TSC,20-20-20 7.00-8.00pm,2018-04-11,1900-01-01 19:00:00,24,12,499.0
TSC,20-20-20 7.00-8.00pm,2018-04-18,1900-01-01 19:00:00,24,9,499.0
TSC,20-20-20 7.00-8.00pm,2018-04-25,1900-01-01 19:00:00,24,5,499.0
TSC,20-20-20 7.00-8.00pm,2018-05-02,1900-01-01 19:00:00,24,6,499.0
TSC,20-20-20 7.00-8.00pm,2018-05-09,1900-01-01 19:00:00,24,5,499.0
TSC,20-20-20 7.00-8.00pm,2018-05-16,1900-01-01 19:00:00,24,6,499.0
TSC,20-20-20 7.00-8.00pm,2018-05-23,1900-01-01 19:00:00,24,6,499.0
TSC,20-20-20 7.00-8.00pm,2018-05-30,1900-01-01 19:00:00,24,7,499.0
NBL,20-20-20 9.30-10.30am,2018-04-03,1900-01-01 09:30:00,60,42,499.0
NBL,20-20-20 9.30-10.30am,2018-04-10,1900-01-01 09:30:00,60,34,499.0
NBL,20-20-20 9.30-10.30am,2018-04-17,1900-01-01 09:30:00,60,37,499.0
NBL,20-20-20 9.30-10.30am,2018-04-24,1900-01-01 09:30:00,60,33,499.0
NBL,20-20-20 9.30-10.30am,2018-05-01,1900-01-01 09:30:00,60,34,499.0
NBL,20-20-20 9.30-10.30am,2018-05-08,1900-01-01 09:30:00,60,28,499.0
NBL,20-20-20 9.30-10.30am,2018-05-15,1900-01-01 09:30:00,60,31,499.0
NBL,20-20-20 9.30-10.30am,2018-05-22,1900-01-01 09:30:00,60,31,499.0
NBL,20-20-20 9.30-10.30am,2018-05-29,1900-01-01 09:30:00,60,30,499.0
SBP,20-20-20 9.30-10.30am,2018-04-04,1900-01-01 09:30:00,35,18,499.0
SBP,20-20-20 9.30-10.30am,2018-04-11,1900-01-01 09:30:00,35,12,499.0
SBP,20-20-20 9.30-10.30am,2018-04-18,1900-01-01 09:30:00,35,14,499.0
SBP,20-20-20 9.30-10.30am,2018-04-25,1900-01-01 09:30:00,35,14,499.0
SBP,20-20-20 9.30-10.30am,2018-05-02,1900-01-01 09:30:00,35,12,499.0
SBP,20-20-20 9.30-10.30am,2018-05-09,1900-01-01 09:30:00,35,13,499.0
SBP,20-20-20 9.30-10.30am,2018-05-16,1900-01-01 09:30:00,35,11,499.0
SBP,20-20-20 9.30-10.30am,2018-05-23,1900-01-01 09:30:00,35,14,499.0
SBP,20-20-20 9.30-10.30am,2018-05-30,1900-01-01 09:30:00,35,7,499.0
BRP,20:20:20  10-11 Am,2018-04-03,1900-01-01 10:00:00,35,32,499.0
BRP,20:20:20  10-11 Am,2018-04-10,1900-01-01 10:00:00,35,26,499.0
BRP,20:20:20  10-11 Am,2018-04-17,1900-01-01 10:00:00,35,24,499.0
BRP,20:20:20  10-11 Am,2018-04-24,1900-01-01 10:00:00,35,23,499.0
BRP,20:20:20  10-11 Am,2018-05-01,1900-01-01 10:00:00,35,22,499.0
BRP,20:20:20  10-11 Am,2018-05-08,1900-01-01 10:00:00,35,30,499.0
BRP,20:20:20  10-11 Am,2018-05-15,1900-01-01 10:00:00,35,18,499.0
BRP,20:20:20  10-11 Am,2018-05-22,1900-01-01 10:00:00,35,24,499.0
BRP,20:20:20  10-11 Am,2018-05-29,1900-01-01 10:00:00,35,28,499.0
BRP,20:20:20  10.00-11.00am,2018-04-05,1900-01-01 10:00:00,35,25,499.0
BRP,20:20:20  10.00-11.00am,2018-04-12,1900-01-01 10:00:00,35,23,499.0
BRP,20:20:20  10.00-11.00am,2018-04-19,1900-01-01 10:00:00,35,21,499.0
BRP,20:20:20  10.00-11.00am,2018-04-26,1900-01-01 10:00:00,35,29,499.0
BRP,20:20:20  10.00-11.00am,2018-05-03,1900-01-01 10:00:00,35,20,499.0
BRP,20:20:20  10.00-11.00am,2018-05-10,1900-01-01 10:00:00,35,24,499.0
BRP,20:20:20  10.00-11.00am,2018-05-17,1900-01-01 10:00:00,35,29,499.0
BRP,20:20:20  10.00-11.00am,2018-05-31,1900-01-01 10:00:00,35,14,499.0
HXP,20:20:20  11am -12noon,2018-04-07,1900-01-01 11:00:00,25,10,499.0
HXP,20:20:20  11am -12noon,2018-04-14,1900-01-01 11:00:00,25,10,499.0
HXP,20:20:20  11am -12noon,2018-04-28,1900-01-01 11:00:00,25,11,499.0
HXP,20:20:20  11am -12noon,2018-05-05,1900-01-01 11:00:00,25,13,499.0
HXP,20:20:20  11am -12noon,2018-05-12,1900-01-01 11:00:00,25,16,499.0
HXP,20:20:20  11am -12noon,2018-05-19,1900-01-01 11:00:00,25,10,499.0
HXP,20:20:20  11am -12noon,2018-05-26,1900-01-01 11:00:00,25,6,499.0
BRP,20:20:20  9.30-10.30am,2018-04-06,1900-01-01 09:30:00,35,26,499.0
BRP,20:20:20  9.30-10.30am,2018-04-13,1900-01-01 09:30:00,35,20,499.0
BRP,20:20:20  9.30-10.30am,2018-04-20,1900-01-01 09:30:00,35,30,499.0
BRP,20:20:20  9.30-10.30am,2018-04-27,1900-01-01 09:30:00,35,27,499.0
BRP,20:20:20  9.30-10.30am,2018-05-04,1900-01-01 09:30:00,35,33,499.0
BRP,20:20:20  9.30-10.30am,2018-05-11,1900-01-01 09:30:00,35,34,499.0
BRP,20:20:20  9.30-10.30am,2018-05-18,1900-01-01 09:30:00,35,32,499.0
BRP,20:20:20  9.30-10.30am,2018-05-25,1900-01-01 09:30:00,35,29,499.0
NBL,20:20:20 9.30-10.30am,2018-04-05,1900-01-01 09:30:00,60,22,499.0
NBL,20:20:20 9.30-10.30am,2018-04-19,1900-01-01 09:30:00,60,14,499.0
NBL,20:20:20 9.30-10.30am,2018-04-26,1900-01-01 09:30:00,60,14,499.0
NBL,20:20:20 9.30-10.30am,2018-05-03,1900-01-01 09:30:00,60,16,499.0
NBL,20:20:20 9.30-10.30am,2018-05-10,1900-01-01 09:30:00,60,14,499.0
