ActivitySiteID,ActivityDescription,BookingEndDateTime (Month / Day / Year),BookingStartTime,MaxBookees,Number Booked,Price (INR)
HXP,20-20-20  2.45pm-3.45pm,8-Apr-18,14:45:00,25,12,499
HXP,20-20-20  2.45pm-3.45pm,15-Apr-18,14:45:00,25,15,499
HXP,20-20-20  2.45pm-3.45pm,22-Apr-18,14:45:00,25,14,499
HXP,20-20-20  2.45pm-3.45pm,29-Apr-18,14:45:00,25,9,499
HXP,20-20-20  2.45pm-3.45pm,6-May-18,14:45:00,25,7,499
HXP,20-20-20  2.45pm-3.45pm,13-May-18,14:45:00,25,10,499
HXP,20-20-20  2.45pm-3.45pm,20-May-18,14:45:00,25,7,499
HXP,20-20-20  2.45pm-3.45pm,27-May-18,14:45:00,25,3,499
TSC,20-20-20 7.00-8.00pm,4-Apr-18,19:00:00,24,10,499
TSC,20-20-20 7.00-8.00pm,11-Apr-18,19:00:00,24,12,499
TSC,20-20-20 7.00-8.00pm,18-Apr-18,19:00:00,24,9,499
TSC,20-20-20 7.00-8.00pm,25-Apr-18,19:00:00,24,5,499
TSC,20-20-20 7.00-8.00pm,2-May-18,19:00:00,24,6,499
TSC,20-20-20 7.00-8.00pm,9-May-18,19:00:00,24,5,499
TSC,20-20-20 7.00-8.00pm,16-May-18,19:00:00,24,6,499
TSC,20-20-20 7.00-8.00pm,23-May-18,19:00:00,24,6,499
TSC,20-20-20 7.00-8.00pm,30-May-18,19:00:00,24,7,499
NBL,20-20-20 9.30-10.30am,3-Apr-18,9:30:00,60,42,499
NBL,20-20-20 9.30-10.30am,10-Apr-18,9:30:00,60,34,499
NBL,20-20-20 9.30-10.30am,17-Apr-18,9:30:00,60,37,499
NBL,20-20-20 9.30-10.30am,24-Apr-18,9:30:00,60,33,499
NBL,20-20-20 9.30-10.30am,1-May-18,9:30:00,60,34,499
NBL,20-20-20 9.30-10.30am,8-May-18,9:30:00,60,28,499
NBL,20-20-20 9.30-10.30am,15-May-18,9:30:00,60,31,499
NBL,20-20-20 9.30-10.30am,22-May-18,9:30:00,60,31,499
NBL,20-20-20 9.30-10.30am,29-May-18,9:30:00,60,30,499
SBP,20-20-20 9.30-10.30am,4-Apr-18,9:30:00,35,18,499
SBP,20-20-20 9.30-10.30am,11-Apr-18,9:30:00,35,12,499
SBP,20-20-20 9.30-10.30am,18-Apr-18,9:30:00,35,14,499
SBP,20-20-20 9.30-10.30am,25-Apr-18,9:30:00,35,14,499
SBP,20-20-20 9.30-10.30am,2-May-18,9:30:00,35,12,499
SBP,20-20-20 9.30-10.30am,9-May-18,9:30:00,35,13,499
SBP,20-20-20 9.30-10.30am,16-May-18,9:30:00,35,11,499
SBP,20-20-20 9.30-10.30am,23-May-18,9:30:00,35,14,499
SBP,20-20-20 9.30-10.30am,30-May-18,9:30:00,35,7,499
BRP,20:20:20  10-11 Am,3-Apr-18,10:00:00,35,32,499
BRP,20:20:20  10-11 Am,10-Apr-18,10:00:00,35,26,499
