ActivitySiteID,ActivityDescription,BookingEndDateTime (Month / Day / Year),BookingStartTime,MaxBookees,Number Booked,Price (INR)
BRP,20:20:20  9.30-10.30am,1-Jun-18,9:30:00,35,28,499
BRP,20:20:20  9.30-10.30am,8-Jun-18,9:30:00,35,35,499
BRP,20:20:20  9.30-10.30am,15-Jun-18,9:30:00,35,31,499
BRP,20:20:20  9.30-10.30am,22-Jun-18,9:30:00,35,32,499
BRP,20:20:20  9.30-10.30am,29-Jun-18,9:30:00,35,19,499
BRP,20:20:20  10-11 Am,5-Jun-18,10:00:00,35,25,499
BRP,20:20:20  10-11 Am,12-Jun-18,10:00:00,35,23,499
BRP,20:20:20  10-11 Am,19-Jun-18,10:00:00,35,21,499
BRP,20:20:20  10-11 Am,26-Jun-18,10:00:00,35,18,499
BRP,20:20:20  10.00-11.00am,14-Jun-18,10:00:00,35,19,499
BRP,20:20:20  10.00-11.00am,21-Jun-18,10:00:00,35,22,499
BRP,20:20:20  10.00-11.00am,28-Jun-18,10:00:00,35,18,499
BRP,Aerobics,5-Jun-18,19:30:00,35,24,799
BRP,Aerobics,12-Jun-18,19:30:00,35,25,799
BRP,Aerobics,19-Jun-18,19:30:00,35,19,799
BRP,Aerobics,26-Jun-18,19:30:00,35,15,799
BRP,Aerobics 6.00-7.00pm,4-Jun-18,18:00:00,35,35,799
BRP,Aerobics 6.00-7.00pm,11-Jun-18,18:00:00,35,32,799
BRP,Aerobics 6.00-7.00pm,18-Jun-18,18:00:00,35,31,799
BRP,Aerobics 6.00-7.00pm,25-Jun-18,18:00:00,35,24,799
BRP,Aqua Fit 2.45 -3.45pm,6-Jun-18,14:45:00,35,16,999
BRP,Aqua Fit 14.45pm,13-Jun-18,14:30:00,35,25,999
BRP,Aqua Fit 14.45pm,20-Jun-18,14:30:00,35,27,999
BRP,Aqua Fit 14.45pm,27-Jun-18,14:30:00,35,18,999
BRP,Aqua Tots 10 -10.30am,2-Jun-18,10:00:00,10,6,1499
BRP,Aqua Tots 10 -10.30am,9-Jun-18,10:00:00,10,8,1499
BRP,Aqua Tots 10 -10.30am,16-Jun-18,10:00:00,10,10,1499
BRP,Aqua Tots 10 -10.30am,23-Jun-18,10:00:00,10,10,1499
BRP,Aqua Tots 10 -10.30am,30-Jun-18,10:00:00,10,7,1499
BRP,Aqua Tots 11.00-11.30am,6-Jun-18,11:00:00,10,3,1499
BRP,Aqua Tots 11.00-11.30am,13-Jun-18,11:00:00,10,6,1499
BRP,Aqua Tots 11.00-11.30am,20-Jun-18,11:00:00,10,7,1499
BRP,Aqua Tots 11.00-11.30am,27-Jun-18,11:00:00,10,9,1499
BRP,Aquababies 10.00 -10.30am,4-Jun-18,10:00:00,10,5,1499
BRP,Aquababies 10.00 -10.30am,11-Jun-18,10:00:00,10,9,1499
BRP,Aquababies 10.00 -10.30am,18-Jun-18,10:00:00,10,7,1499
BRP,Aquababies 10.00 -10.30am,25-Jun-18,10:00:00,10,6,1499
BRP,Aquababies 10.30-11.00am,6-Jun-18,10:30:00,10,5,1499
BRP,Aquababies 10.30-11.00am,13-Jun-18,10:30:00,10,6,1499
BRP,Aquababies 10.30-11.00am,20-Jun-18,10:30:00,10,3,1499
BRP,Aquababies 10.30-11.00am,27-Jun-18,10:30:00,10,5,1499
BRP,Aquafit  6.00-7.00pm,7-Jun-18,18:00:00,35,32,999
BRP,Aquafit  6.00-7.00pm,14-Jun-18,18:00:00,35,33,999
BRP,Aquafit  6.00-7.00pm,21-Jun-18,18:00:00,35,34,999
BRP,Aquafit  6.00-7.00pm,28-Jun-18,18:00:00,35,31,999
BRP,Aquafit 7.00-8.00pm,5-Jun-18,19:00:00,35,30,999
BRP,Aquafit 7.00-8.00pm,12-Jun-18,19:00:00,35,28,999
BRP,Aquafit 7.00-8.00pm,19-Jun-18,19:00:00,35,29,999
BRP,Aquafit 7.00-8.00pm,26-Jun-18,19:00:00,35,34,999
BRP,Aquafit 11.00-12.00 Noon,1-Jun-18,11:00:00,35,30,999
BRP,Aquafit 11.00-12.00 Noon,8-Jun-18,11:00:00,35,27,999
BRP,Aquafit 11.00-12.00 Noon,15-Jun-18,11:00:00,35,34,999
BRP,Aquafit 11.00-12.00 Noon,22-Jun-18,11:00:00,35,34,999
BRP,Aquafit 11.00-12.00 Noon,29-Jun-18,11:00:00,35,32,999
BRP,Aquafit 11am - 12,4-Jun-18,11:00:00,35,35,999
BRP,Aquafit 11am - 12,11-Jun-18,11:00:00,35,32,999
